Video Title,Like Count,View Count,Comment Count,Subscriber Count,video_id,mean_sentiment
10 Gallons of Liquid Nitrogen vs Watermelon,21717,1326911,1286,28000000,gLvW1Ydsn2Q,0.40596017
INSANE IPHONE 11 PRO DROP TEST,41775,1743058,767,28000000,b8HrNRYMZBI,0.39922833
Awesome Fire Slingshot Experiments and Crafts,15713,1294742,3405,28000000,u8w-Ji9DJOA,0.42719203
5 CRAZY WAYS TO OPEN A LOCK,15832,1034580,1249,28000000,OdXDoVWlDPw,0.4280198
COCA COLA VS DRILL POWERED CHAINSAW,12568,1073003,1138,28000000,ZBrxRN_7G0Q,0.3988117
"PEPSI VS 3,000 DEGREE GAS TORCH",25998,1401199,3376,28000000,jgpbPhTNrF4,0.40172353
I Put a Tooth In Coca Cola For 24 Hours,16534,868839,985,28000000,5KjV2nii6Tc,0.39037573
GAS TORCH VS PADLOCK,41604,3667770,4266,28000000,Luo8jR940lE,0.42706558
FIREWORK VS WATERMELON EXPERIMENT,12752,683007,915,28000000,jbuW-jBByoU,0.38877773
1000 DEGREE WEIGHT VS POOL,204603,6433819,4148,28000000,6NzQwvn6BM0,0.39483213
Amazing Fire Crafts and Awesome Experiments,24387,3074530,2094,28000000,32uS545r2HM,0.42188132
